resolution,api,page,labels,fields,draws,errors,geomsum,drawsum
128x64,1.15,CONFIRM/acc_cal.lua,4,1,5,0,59e178b2,a797fa14
128x64,1.15,CONFIRM/pwm.lua,3,1,4,0,344954d6,13fc344b
128x64,1.15,CONFIRM/vtx_tables.lua,3,1,4,0,345d0d6f,5697672a
128x64,1.15,PAGES/acc_trim.lua,1,2,10,0,a92b0597,33cd28f2
128x64,1.15,PAGES/battery.lua,2,4,40,0,bc60c0dd,03ad47d1
128x64,1.15,PAGES/failsafe.lua,2,6,74,0,f0c9fea9,06b45a90
128x64,1.15,PAGES/filters1.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/filters2.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/gpspids.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/pid_advanced.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/pids1.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/pids2.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/pos_osd.lua,5,5,50,0,d574b6f7,dad3087d
128x64,1.15,PAGES/profiles.lua,0,2,8,0,efbebbf2,ef7a70a1
128x64,1.15,PAGES/pwm.lua,2,5,60,0,ab7fc3d2,6c79c638
128x64,1.15,PAGES/rates.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/rescue.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/rx.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.15,PAGES/simplified_tuning.lua,2,13,185,0,6f675c99,daba0bb5
128x64,1.15,PAGES/vtx.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.16,CONFIRM/acc_cal.lua,4,1,5,0,95a1f049,01860663
128x64,1.16,CONFIRM/pwm.lua,3,1,4,0,5b6f1384,cbdbe259
128x64,1.16,CONFIRM/vtx_tables.lua,3,1,4,0,532adbc1,9e9d318c
128x64,1.16,PAGES/acc_trim.lua,1,2,10,0,ee1484ea,98cc25b0
128x64,1.16,PAGES/battery.lua,2,4,40,0,93167c85,f194ad59
128x64,1.16,PAGES/failsafe.lua,2,6,74,0,3b7d60c5,483cb06a
128x64,1.16,PAGES/filters1.lua,3,3,27,0,6d8e5456,2131d366
128x64,1.16,PAGES/filters2.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.16,PAGES/gpspids.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.16,PAGES/pid_advanced.lua,0,1,2,0,c0871cb2,f2e85b8a
128x64,1.16,PAGES/pids1.lua,7,8,120,0,b87a0042,5a555c09
128x64,1.16,PAGES/pids2.lua,0,0,0,0,811c9dc5,811c9dc5
128x64,1.16,PAGES/pos_osd.lua,5,5,50,0,f571e84d,b9408b35
